"","add","crp","dsbG","gor","grxA","hemH","oxyR","rbsR","trxC","pval","z","inv_cof_var"
"T7440",0.132479794,0.423039999,0.092875844,0.086074642,0.087324706,0.088551539,0.375751312,0.086890727,0.088119991,0.332958226023112,0.431759177665192,5.30867781157142
"T7442",0.127138855,0.430626874,0.109689063,0.080110283,0.083798664,0.080740475,0.37942453,0.083235592,0.083668405,0.373782933416645,0.32185061589023,4.80208739549143
"T7444",0.119955168,0.511460147,0.086482376,0.082144126,0.08594855,0.09120015,0.403771012,0.08647857,0.086142969,0.240425946552839,0.704933063239491,6.56779056967139
"T7446",0.120480434,0.53980034,0.074473502,0.073380086,0.080758546,0.070656569,0.414290162,0.082243493,0.081412292,0.399468267717019,0.254723667015305,4.49268594021303
"T7448",0.131960778,0.527153358,0.080944407,0.079861945,0.080409183,0.093681574,0.16902075,0.080720221,0.081362671,0.403617907148665,0.243993551344425,4.44322870344719
"T7450",0.119267151,0.541712257,0.082953648,0.075766647,0.081670519,0.086984803,0.261882664,0.08547508,0.085199956,0.300914950936617,0.521770829946447,5.72355941537744
"T7452",0.136083301,0.433232185,0.120476169,0.071361355,0.080911954,0.072470248,0.392897964,0.080436501,0.080720756,0.492954215260523,0.0176620814804389,3.40002195377509
"T7259",0.133993772,0.508291951,0.136173661,0.080892102,0.082444468,0.076920739,0.373526253,0.083777578,0.084116833,0.480835158750082,0.0480576250129338,3.54012105794344
"T7454",0.119117853,0.450274738,0.100147685,0.080658104,0.081929728,0.079936766,0.431194371,0.08232697,0.083307466,0.298358464685105,0.529127610150634,5.7574682782036
"T7460",0.1011915,0.36011828,0.127192143,0.06847349,0.080298688,0.073520004,0.456931023,0.074343531,0.078935732,0.441745671546196,0.146544778779818,3.99406793341485
"T7462",0.115917003,0.427311888,0.085521669,0.072118988,0.080830756,0.076059238,0.358177041,0.077995658,0.079900809,0.326604397373902,0.449308960519628,5.38956825044866
"T7464",0.080835034,0.395271592,0.080063213,0.06744803,0.079495978,0.056577123,0.464911425,0.077128739,0.077229425,0.176774445006331,0.927727595914024,7.59469487253209
"T7468",0.127394172,0.507327617,0.089019524,0.076385809,0.089442562,0.075967204,0.369998201,0.089047357,0.089294161,0.370192630869469,0.331343202449062,4.84584061450234
"T7470",0.13775785,0.500640457,0.084767368,0.066380961,0.086106297,0.068066917,0.407783338,0.085325717,0.08580359,0.49289443532375,0.0178119511331231,3.40071273280526
"T7277",0.137795469,0.468296229,0.124860269,0.082869191,0.083269067,0.080553206,0.32396415,0.082681629,0.08289172,0.453816069821077,0.116025742963533,3.85339962875458
"T7474",0.126553571,0.501610665,0.086966841,0.084531323,0.082493464,0.080956049,0.363376051,0.087172268,0.087760572,0.335379507759431,0.425106533212635,5.27801445043898
"T7476",0.130289562,0.483967739,0.113884856,0.084938908,0.08863958,0.073536609,0.290599524,0.087720089,0.087912466,0.393812828636982,0.269395098952079,4.56030948736268
"T7284",0.142369889,0.466627052,0.136135069,0.084448129,0.084688192,0.07519341,0.355273074,0.084570754,0.084681439,0.492409515224372,0.0190276718631102,3.40631623139077
"T7286",0.142875642,0.521502488,0.099644662,0.081213372,0.076547474,0.076094815,0.29726395,0.079382581,0.079486716,0.480149926138254,0.0497773049600777,3.54804740477101
"T7478",0.130005199,0.503951485,0.093323045,0.071845422,0.082051654,0.075832788,0.317856259,0.083368245,0.083081247,0.423154868288268,0.193829054043948,4.21201056038819
"T7480",0.136590172,0.478324546,0.121971863,0.079570405,0.08435327,0.078311963,0.177367499,0.087287425,0.087027516,0.446719250798019,0.133954566037838,3.93603713937576
"T7482",0.133160282,0.489316042,0.117229806,0.07693069,0.082845743,0.077183023,0.371821951,0.08236319,0.082776317,0.445405560864146,0.137277920951041,3.95135514300598
"T7484",0.126905533,0.472380421,0.099063047,0.08341359,0.091745862,0.082880214,0.257168026,0.091717705,0.092292964,0.288012528894723,0.55920025697837,5.89607908725305
"T7486",0.128194927,0.536209947,0.076443399,0.082426262,0.083727178,0.08244581,0.387112998,0.082837188,0.083407493,0.385104404889416,0.292101774749985,4.66496907124303
"T7488",0.122561881,0.500314511,0.083057188,0.082654897,0.086617139,0.064575862,0.392224268,0.086547152,0.087228747,0.388127769744988,0.284202056592973,4.62855769943135
"T7492",0.125341946,0.462372917,0.084265015,0.085831093,0.080150902,0.08313753,0.391969493,0.083732152,0.084837688,0.334650870102705,0.42710652554099,5.2872328127705
"T7494",0.137241541,0.494700709,0.09776843,0.085916416,0.077429073,0.079608448,0.376699696,0.08673595,0.086639643,0.422407032143695,0.195739502014152,4.22081619496747
"T7142",0.053294443,0.431680915,0.065857463,0.074742015,0.049209372,0.049334296,0.101172973,0.050876684,0.056812896,0.301146391041692,0.521106214413522,5.72049607023016
"T7146",0.049665391,0.379055892,0.055167783,0.06019937,0.044612114,0.044549477,0.086708155,0.047752489,0.053694705,0.141728121256205,1.07258748470086,8.26238290473545
"T7148",0.051379233,0.647629973,0.059503919,0.064469141,0.050024474,0.050093358,0.106648117,0.051291467,0.053995733,0.0957424305132192,1.30619909349004,9.339145262339
"T7156",0.050655645,0.465381649,0.057129745,0.065081663,0.050323024,0.050155034,0.095722142,0.05761396,0.068795589,0.215098260920879,0.788855406334197,6.95460533660286
"T7158",0.040577555,0.373168347,0.044286772,0.064401114,0.035896106,0.035190624,0.060509653,0.041569836,0.059643468,0.462519471254809,0.0940883904978634,3.75228600908925
"T7160",0.054551284,0.300023358,0.05932961,0.079411015,0.053879433,0.056648752,0.080159112,0.05982686,0.06978353,0.272896451405695,0.604076319184824,6.10292178138044
"T7162",0.041654247,0.457225713,0.051173792,0.06822538,0.042357771,0.042546055,0.068385316,0.048026003,0.059583941,0.387704361277303,0.285307297439405,4.63365197426509
"T7164",0.051288622,0.310995546,0.055613466,0.06145643,0.054901852,0.057277701,0.078043632,0.062796344,0.075880748,0.224535335049682,0.756965269334173,6.80761735394899
"T7159",0.050894135,0.33286917,0.059183395,0.101709024,0.052068187,0.054921027,0.076827989,0.063043934,0.071112205,0.497686196385434,0.00579987807866747,3.34534669954664
"T7161",0.066073351,0.435063969,0.050537389,0.060572936,0.039651977,0.040269558,0.066600061,0.046016888,0.059598597,0.378196019513783,0.310222134977915,4.74848941469163
"T7163",0.051444468,0.280173203,0.058154383,0.083481608,0.050859407,0.053503539,0.08936098,0.071220814,0.078307218,0.413446470938573,0.218688199576111,4.32659130528335
"T5565",0.141310394,0.225465407,0.163836681,0.186639782,0.137124149,0.118691644,0.229607253,0.106732013,0.107887959,0.364107783243501,0.347500202384862,4.9203114399585
"T5567",0.114105503,0.249066348,0.140717683,0.185416838,0.145838067,0.102365172,0.252210841,0.085696681,0.125530524,0.387469195765827,0.285921310306013,4.63648208166118
"T5571",0.088055861,0.238746205,0.144064219,0.169680127,0.160253838,0.10272983,0.257372109,0.084943395,0.099550542,0.47098995811992,0.0727815961698711,3.65407875726433
"T5573",0.093737875,0.244182951,0.123752981,0.172509054,0.134331064,0.094693159,0.255310048,0.107971336,0.164489855,0.450053357161063,0.125526541267284,3.89719069733069
